seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_diff
2360,182322,40973,100806,-60.79199610445393,70.80263045964021,22.0
2362,182364,40985,100810,-48.610434944401646,74.38278587015131,22.0
2365,182419,40964,100829,-67.90766843332102,92.07069793766766,15.0
2366,182450,40977,100824,-54.708743576707214,86.33708499235638,31.0
2367,182466,40964,100819,-67.54205932251317,80.9512777158051,16.0
2368,182488,40979,100826,-52.71137330238148,87.83652600356645,22.0
2369,182506,40959,100822,-72.35671667932212,83.41194112415171,18.0
2373,182582,40964,100841,-65.55765475190942,100.22109589063923,16.0
2374,182601,40965,100832,-64.02717760461245,90.8002440544068,19.0
2376,182645,40979,100847,-49.548188486339015,104.64094111813716,24.0
